"","soundFile","trialnum","condition","random_block_key_resp.rt","random_block_key_resp.keys","structured_block_key_resp.rt","structured_block_key_resp.keys","starget","Run","PartID","ttarget","expName"
"1","3A.wav",289,"S",NA,"",NA,"None","bi",4,"f006","1C","auditory"
"2","3B.wav",290,"S",NA,"",NA,"None","bi",4,"f006","1C","auditory"
"3","3C.wav",291,"S",NA,"",NA,"None","bi",4,"f006","1C","auditory"
"4","1A.wav",292,"S",NA,"",NA,"None","bi",4,"f006","1C","auditory"
"5","1B.wav",293,"S",NA,"",NA,"None","bi",4,"f006","1C","auditory"
"6","1C.wav",294,"S",NA,"",NA,"None","bi",4,"f006","1C","auditory"
"7","4A.wav",295,"S",NA,"",NA,"None","bi",4,"f006","1C","auditory"
"8","4B.wav",296,"S",NA,"",0.116946137918,"3","bi",4,"f006","1C","auditory"
"9","4C.wav",297,"S",NA,"",NA,"None","bi",4,"f006","1C","auditory"
"10","3A.wav",298,"S",NA,"",NA,"None","bi",4,"f006","1C","auditory"
"11","3B.wav",299,"S",NA,"",0.291979211674,"3","bi",4,"f006","1C","auditory"
"12","3C.wav",300,"S",NA,"",0.400404821092,"3","bi",4,"f006","1C","auditory"
"13","2A.wav",301,"S",NA,"",NA,"None","bi",4,"f006","1C","auditory"
"14","2B.wav",302,"S",NA,"",NA,"None","bi",4,"f006","1C","auditory"
"15","2C.wav",303,"S",NA,"",0.117130742234,"3","bi",4,"f006","1C","auditory"
"16","1A.wav",304,"S",NA,"",NA,"None","bi",4,"f006","1C","auditory"
"17","1B.wav",305,"S",NA,"",0.28359294089,"3","bi",4,"f006","1C","auditory"
"18","1C.wav",306,"S",NA,"",NA,"None","bi",4,"f006","1C","auditory"
"19","4A.wav",307,"S",NA,"",NA,"None","bi",4,"f006","1C","auditory"
"20","4B.wav",308,"S",NA,"",NA,"None","bi",4,"f006","1C","auditory"
"21","4C.wav",309,"S",NA,"",0.400347363378,"3","bi",4,"f006","1C","auditory"
"22","3A.wav",310,"S",NA,"",NA,"None","bi",4,"f006","1C","auditory"
