"","soundFile","trialnum","condition","random_block_key_resp.rt","random_block_key_resp.keys","structured_block_key_resp.rt","structured_block_key_resp.keys","starget","Run","PartID","ttarget","expName"
"607","3A.wav",487,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"608","3C.wav",488,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"609","4C.wav",489,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"610","4A.wav",490,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"611","1C.wav",491,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"612","2A.wav",492,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"613","2A.wav",493,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"614","1B.wav",494,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"615","3B.wav",495,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"616","4C.wav",496,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"617","3A.wav",497,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"618","1B.wav",498,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"619","4B.wav",499,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"620","1A.wav",500,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"621","1C.wav",501,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"622","2C.wav",502,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"623","2B.wav",503,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"624","3C.wav",504,"R",0.0419603672344,"3",NA,"","bi",2,"f006","1C","auditory"
"625","3B.wav",505,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"626","3B.wav",506,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"627","4A.wav",507,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"628","4A.wav",508,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"629","1B.wav",509,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"630","2C.wav",510,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"631","1A.wav",511,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"632","3C.wav",512,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"633","1C.wav",513,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"634","4C.wav",514,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"635","2B.wav",515,"R",0.11690261797,"3",NA,"","bi",2,"f006","1C","auditory"
"636","1A.wav",516,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"637","1B.wav",517,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"638","2B.wav",518,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"639","2A.wav",519,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"640","3A.wav",520,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"641","4B.wav",521,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"642","2C.wav",522,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"643","3C.wav",523,"R",0.0336201764294,"3",NA,"","bi",2,"f006","1C","auditory"
"644","4C.wav",524,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"645","1C.wav",525,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"646","3A.wav",526,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"647","4B.wav",527,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"648","2A.wav",528,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"649","4A.wav",529,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"650","3A.wav",530,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"651","2A.wav",531,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"652","4B.wav",532,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"653","2A.wav",533,"R",0.166986429482,"3",NA,"","bi",2,"f006","1C","auditory"
"654","2B.wav",534,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"655","2B.wav",535,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
