"","key_resp.corr","Run","PartID","expName","modality","task"
"1",1,2,"f008","auditory","linguistic","ssl"
"2",0,2,"f008","auditory","linguistic","ssl"
"3",1,2,"f008","auditory","linguistic","ssl"
"4",1,2,"f008","auditory","linguistic","ssl"
"5",0,2,"f008","auditory","linguistic","ssl"
"6",1,2,"f008","auditory","linguistic","ssl"
"7",1,2,"f008","auditory","linguistic","ssl"
"8",1,2,"f008","auditory","linguistic","ssl"
"9",1,2,"f008","auditory","linguistic","ssl"
"10",0,2,"f008","auditory","linguistic","ssl"
"11",1,2,"f008","auditory","linguistic","ssl"
"12",1,2,"f008","auditory","linguistic","ssl"
"13",1,2,"f008","auditory","linguistic","ssl"
"14",0,2,"f008","auditory","linguistic","ssl"
"15",1,2,"f008","auditory","linguistic","ssl"
"16",1,2,"f008","auditory","linguistic","ssl"
