"","soundFile","trialnum","condition","sound_block_key_resp.rt","sound_block_key_resp.keys","tone_block_key_resp.rt","tone_block_key_resp.keys","starget","Run","PartID","ttarget","expName"
"1","3A.wav",481,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"2","3B.wav",482,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"3","3C.wav",483,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"4","2A.wav",484,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"5","2B.wav",485,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"6","2C.wav",486,"S",NA,"",0.100312405149,"3","bi",4,"f008","1C","auditory"
"7","1A.wav",487,"S",NA,"",0.300387669122,"3","bi",4,"f008","1C","auditory"
"8","1B.wav",488,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"9","1C.wav",489,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"10","4A.wav",490,"S",NA,"",0.027144802385,"3","bi",4,"f008","1C","auditory"
"11","4B.wav",491,"S",NA,"",0.400410510018,"3","bi",4,"f008","1C","auditory"
"12","4C.wav",492,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"13","2A.wav",493,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"14","2B.wav",494,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"15","2C.wav",495,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"16","3A.wav",496,"S",NA,"",0.283652674174,"3","bi",4,"f008","1C","auditory"
"17","3B.wav",497,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"18","3C.wav",498,"S",NA,"",0.250263750902,"3","bi",4,"f008","1C","auditory"
"19","1A.wav",499,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"20","1B.wav",500,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"21","1C.wav",501,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"22","4A.wav",502,"S",NA,"",0.141961590271,"3","bi",4,"f008","1C","auditory"
"23","4B.wav",503,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"24","4C.wav",504,"S",NA,"",0.283752229763,"3","bi",4,"f008","1C","auditory"
"25","3A.wav",505,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"26","3B.wav",506,"S",NA,"",0.14200368803,"3","bi",4,"f008","1C","auditory"
"27","3C.wav",507,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"28","4A.wav",508,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"29","4B.wav",509,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"30","4C.wav",510,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"31","2A.wav",511,"S",NA,"",0.416967158322,"3","bi",4,"f008","1C","auditory"
"32","2B.wav",512,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"33","2C.wav",513,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"34","1A.wav",514,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"35","1B.wav",515,"S",NA,"",0.358737147064,"3","bi",4,"f008","1C","auditory"
"36","1C.wav",516,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"37","2A.wav",517,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"38","2B.wav",518,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"39","2C.wav",519,"S",NA,"",NA,"None","bi",4,"f008","1C","auditory"
"40","4A.wav",520,"S",NA,"",0.275289158919,"3","bi",4,"f008","1C","auditory"
