"","key_resp.corr","Run","PartID","expName","modality","task"
"349",0,2,"f006","visual","linguistic","lsl"
"350",0,2,"f006","visual","linguistic","lsl"
"351",0,2,"f006","visual","linguistic","lsl"
"352",0,2,"f006","visual","linguistic","lsl"
"353",0,2,"f006","visual","linguistic","lsl"
"354",1,2,"f006","visual","linguistic","lsl"
"355",0,2,"f006","visual","linguistic","lsl"
"356",1,2,"f006","visual","linguistic","lsl"
"357",1,2,"f006","visual","linguistic","lsl"
"358",0,2,"f006","visual","linguistic","lsl"
"359",0,2,"f006","visual","linguistic","lsl"
"360",0,2,"f006","visual","linguistic","lsl"
"361",0,2,"f006","visual","linguistic","lsl"
"362",0,2,"f006","visual","linguistic","lsl"
"363",0,2,"f006","visual","linguistic","lsl"
"364",1,2,"f006","visual","linguistic","lsl"
