"","key_resp.corr","Run","PartID","expName","modality","task"
"350",1,4,"f006","visual","non-linguistic","vsl"
"351",1,4,"f006","visual","non-linguistic","vsl"
"352",0,4,"f006","visual","non-linguistic","vsl"
"353",0,4,"f006","visual","non-linguistic","vsl"
"354",0,4,"f006","visual","non-linguistic","vsl"
"355",0,4,"f006","visual","non-linguistic","vsl"
"356",1,4,"f006","visual","non-linguistic","vsl"
"357",1,4,"f006","visual","non-linguistic","vsl"
"358",0,4,"f006","visual","non-linguistic","vsl"
"359",1,4,"f006","visual","non-linguistic","vsl"
"360",1,4,"f006","visual","non-linguistic","vsl"
"361",0,4,"f006","visual","non-linguistic","vsl"
"362",0,4,"f006","visual","non-linguistic","vsl"
"363",1,4,"f006","visual","non-linguistic","vsl"
"364",0,4,"f006","visual","non-linguistic","vsl"
"365",1,4,"f006","visual","non-linguistic","vsl"
