"","key_resp.corr","Run","PartID","expName","modality","task"
"217",0,2,"f008","visual","linguistic","lsl"
"218",1,2,"f008","visual","linguistic","lsl"
"219",1,2,"f008","visual","linguistic","lsl"
"220",1,2,"f008","visual","linguistic","lsl"
"221",1,2,"f008","visual","linguistic","lsl"
"222",1,2,"f008","visual","linguistic","lsl"
"223",1,2,"f008","visual","linguistic","lsl"
"224",1,2,"f008","visual","linguistic","lsl"
"225",0,2,"f008","visual","linguistic","lsl"
"226",1,2,"f008","visual","linguistic","lsl"
"227",1,2,"f008","visual","linguistic","lsl"
"228",0,2,"f008","visual","linguistic","lsl"
"229",1,2,"f008","visual","linguistic","lsl"
"230",0,2,"f008","visual","linguistic","lsl"
"231",0,2,"f008","visual","linguistic","lsl"
"232",1,2,"f008","visual","linguistic","lsl"
