"","key_resp.corr","Run","PartID","expName","modality","task"
"350",0,4,"f005","visual","non-linguistic","vsl"
"351",1,4,"f005","visual","non-linguistic","vsl"
"352",1,4,"f005","visual","non-linguistic","vsl"
"353",0,4,"f005","visual","non-linguistic","vsl"
"354",0,4,"f005","visual","non-linguistic","vsl"
"355",0,4,"f005","visual","non-linguistic","vsl"
"356",0,4,"f005","visual","non-linguistic","vsl"
"357",0,4,"f005","visual","non-linguistic","vsl"
"358",1,4,"f005","visual","non-linguistic","vsl"
"359",0,4,"f005","visual","non-linguistic","vsl"
"360",1,4,"f005","visual","non-linguistic","vsl"
"361",0,4,"f005","visual","non-linguistic","vsl"
"362",1,4,"f005","visual","non-linguistic","vsl"
"363",0,4,"f005","visual","non-linguistic","vsl"
"364",1,4,"f005","visual","non-linguistic","vsl"
"365",1,4,"f005","visual","non-linguistic","vsl"
