"","image","trialnum","condition","l_block_trial_key_resp.rt","l_block_trial_key_resp.keys","v_block_trial_key_resp.rt","v_block_trial_key_resp.keys","ltarget","Run","PartID","vtarget","expName"
"1","M.png",145,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"2","K.png",146,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"3","B.png",147,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"4","D.png",148,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"5","G.png",149,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"6","C.png",150,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"7","M.png",151,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"8","K.png",152,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"9","B.png",153,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"10","E.png",154,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"11","L.png",155,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"12","H.png",156,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"13","A.png",157,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"14","J.png",158,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"15","F.png",159,"S",0.367058848962,"3",NA,"","f_not_false",2,"f005",3,"visual"
"16","M.png",160,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"17","K.png",161,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"18","B.png",162,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"19","E.png",163,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"20","L.png",164,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"21","H.png",165,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"22","A.png",166,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"23","J.png",167,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"24","F.png",168,"S",0.358672009315,"3",NA,"","f_not_false",2,"f005",3,"visual"
"25","blank.png",0,"B",NA,"",NA,"","f_not_false",2,"f005",3,"visual"
"26","blank.png",0,"B",NA,"",NA,"","f_not_false",2,"f005",3,"visual"
"27","blank.png",0,"B",NA,"",NA,"","f_not_false",2,"f005",3,"visual"
"28","blank.png",0,"B",NA,"",NA,"","f_not_false",2,"f005",3,"visual"
"29","blank.png",0,"B",NA,"",NA,"","f_not_false",2,"f005",3,"visual"
"30","blank.png",0,"B",NA,"",NA,"","f_not_false",2,"f005",3,"visual"
"31","blank.png",0,"B",NA,"",NA,"","f_not_false",2,"f005",3,"visual"
"32","blank.png",0,"B",NA,"",NA,"","f_not_false",2,"f005",3,"visual"
"33","blank.png",0,"B",NA,"",NA,"","f_not_false",2,"f005",3,"visual"
"34","blank.png",0,"B",NA,"",NA,"","f_not_false",2,"f005",3,"visual"
"35","blank.png",0,"B",NA,"",NA,"","f_not_false",2,"f005",3,"visual"
"36","blank.png",0,"B",NA,"",NA,"","f_not_false",2,"f005",3,"visual"
"37","D.png",169,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"38","G.png",170,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"39","C.png",171,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"40","A.png",172,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"41","J.png",173,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"42","F.png",174,"S",0.32522989501,"3",NA,"","f_not_false",2,"f005",3,"visual"
"43","M.png",175,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"44","K.png",176,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"45","B.png",177,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"46","D.png",178,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"47","G.png",179,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"48","C.png",180,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"49","E.png",181,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"50","L.png",182,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"51","H.png",183,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"52","D.png",184,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"53","G.png",185,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"54","C.png",186,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"55","A.png",187,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"56","J.png",188,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"57","F.png",189,"S",0.308583077742,"3",NA,"","f_not_false",2,"f005",3,"visual"
"58","E.png",190,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"59","L.png",191,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"60","H.png",192,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"61","Alien1.bmp",145,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"62","Alien6.bmp",146,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"63","Alien6.bmp",147,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"64","Alien2.bmp",148,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"65","Alien3.bmp",149,"R",NA,"",0.45037229493,"3","f_not_false",2,"f005",3,"visual"
"66","Alien11.bmp",150,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"67","Alien7.bmp",151,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"68","Alien5.bmp",152,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"69","Alien5.bmp",153,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"70","Alien5.bmp",154,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"71","Alien8.bmp",155,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"72","Alien7.bmp",156,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"73","Alien3.bmp",157,"R",NA,"",0.533730967494,"3","f_not_false",2,"f005",3,"visual"
"74","Alien6.bmp",158,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"75","Alien4.bmp",159,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"76","Alien10.bmp",160,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"77","Alien1.bmp",161,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"78","Alien8.bmp",162,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"79","Alien9.bmp",163,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"80","Alien9.bmp",164,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"81","Alien2.bmp",165,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"82","Alien4.bmp",166,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"83","Alien12.bmp",167,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"84","Alien4.bmp",168,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"85","Alien12.bmp",169,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"86","Alien1.bmp",170,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"87","Alien7.bmp",171,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"88","Alien5.bmp",172,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"89","Alien12.bmp",173,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"90","Alien4.bmp",174,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"91","Alien8.bmp",175,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"92","Alien6.bmp",176,"R",NA,"",0.425322424737,"3","f_not_false",2,"f005",3,"visual"
"93","Alien11.bmp",177,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"94","Alien7.bmp",178,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"95","Alien1.bmp",179,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"96","Alien11.bmp",180,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"97","Alien9.bmp",181,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"98","Alien10.bmp",182,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"99","Alien2.bmp",183,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"100","Alien2.bmp",184,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"101","Alien8.bmp",185,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"102","Alien11.bmp",186,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"103","Alien3.bmp",187,"R",NA,"",0.516955581494,"3","f_not_false",2,"f005",3,"visual"
"104","Alien3.bmp",188,"R",NA,"",0.642080914695,"3","f_not_false",2,"f005",3,"visual"
"105","Alien9.bmp",189,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"106","Alien10.bmp",190,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"107","Alien10.bmp",191,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"108","Alien12.bmp",192,"R",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"109","blank.png",0,"B",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"110","blank.png",0,"B",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"111","blank.png",0,"B",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"112","blank.png",0,"B",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"113","blank.png",0,"B",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"114","blank.png",0,"B",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"115","blank.png",0,"B",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"116","blank.png",0,"B",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"117","blank.png",0,"B",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"118","blank.png",0,"B",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"119","blank.png",0,"B",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"120","blank.png",0,"B",NA,"",NA,"None","f_not_false",2,"f005",3,"visual"
"121","M.png",193,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"122","K.png",194,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"123","B.png",195,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"124","E.png",196,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"125","L.png",197,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"126","H.png",198,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
"127","A.png",199,"S",NA,"None",NA,"","f_not_false",2,"f005",3,"visual"
