"","image","trialnum","condition","l_block_trial_key_resp.rt","l_block_trial_key_resp.keys","v_block_trial_key_resp.rt","v_block_trial_key_resp.keys","ltarget","Run","PartID","vtarget","expName"
"75","blank.png",0,"B",NA,"",NA,"None","H",4,"f008",6,"visual"
"76","blank.png",0,"B",NA,"",NA,"None","H",4,"f008",6,"visual"
"77","blank.png",0,"B",NA,"",NA,"None","H",4,"f008",6,"visual"
"78","blank.png",0,"B",NA,"",NA,"None","H",4,"f008",6,"visual"
"79","blank.png",0,"B",NA,"",NA,"None","H",4,"f008",6,"visual"
"80","blank.png",0,"B",NA,"",NA,"None","H",4,"f008",6,"visual"
"81","blank.png",0,"B",NA,"",NA,"None","H",4,"f008",6,"visual"
"82","blank.png",0,"B",NA,"",NA,"None","H",4,"f008",6,"visual"
"83","blank.png",0,"B",NA,"",NA,"None","H",4,"f008",6,"visual"
"84","blank.png",0,"B",NA,"",NA,"None","H",4,"f008",6,"visual"
"85","blank.png",0,"B",0.400341105647,"None",NA,"","H",4,"f008",6,"visual"
"86","blank.png",0,"B",NA,"",NA,"","H",4,"f008",6,"visual"
"87","blank.png",0,"B",NA,"",NA,"","H",4,"f008",6,"visual"
"88","blank.png",0,"B",NA,"",NA,"","H",4,"f008",6,"visual"
"89","blank.png",0,"B",NA,"",NA,"","H",4,"f008",6,"visual"
"90","blank.png",0,"B",NA,"",NA,"","H",4,"f008",6,"visual"
"91","blank.png",0,"B",NA,"",NA,"","H",4,"f008",6,"visual"
"92","blank.png",0,"B",NA,"",NA,"","H",4,"f008",6,"visual"
"93","blank.png",0,"B",NA,"",NA,"","H",4,"f008",6,"visual"
"94","blank.png",0,"B",NA,"",NA,"","H",4,"f008",6,"visual"
"95","blank.png",0,"B",NA,"",NA,"","H",4,"f008",6,"visual"
"96","blank.png",0,"B",NA,"",NA,"","H",4,"f008",6,"visual"
"97","Alien7.bmp",241,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"98","Alien8.bmp",242,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"99","Alien9.bmp",243,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"100","Alien4.bmp",244,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"101","Alien5.bmp",245,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"102","Alien6.bmp",246,"S",NA,"",0.416923353914,"3","H",4,"f008",6,"visual"
"103","Alien10.bmp",247,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"104","Alien11.bmp",248,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"105","Alien12.bmp",249,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"106","Alien7.bmp",250,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"107","Alien8.bmp",251,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"108","Alien9.bmp",252,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"109","Alien4.bmp",253,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"110","Alien5.bmp",254,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"111","Alien6.bmp",255,"S",NA,"",0.492072680034,"3","H",4,"f008",6,"visual"
"112","Alien10.bmp",256,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"113","Alien11.bmp",257,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"114","Alien12.bmp",258,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"115","Alien1.bmp",259,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"116","Alien2.bmp",260,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"117","Alien3.bmp",261,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"118","Alien7.bmp",262,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"119","Alien8.bmp",263,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"120","Alien9.bmp",264,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"121","Alien1.bmp",265,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"122","Alien2.bmp",266,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"123","Alien3.bmp",267,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"124","Alien10.bmp",268,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"125","Alien11.bmp",269,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"126","Alien12.bmp",270,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"127","Alien4.bmp",271,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"128","Alien5.bmp",272,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"129","Alien6.bmp",273,"S",NA,"",0.333636361291,"3","H",4,"f008",6,"visual"
"130","Alien1.bmp",274,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"131","Alien2.bmp",275,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"132","Alien3.bmp",276,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"133","Alien10.bmp",277,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"134","Alien11.bmp",278,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"135","Alien12.bmp",279,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"136","Alien7.bmp",280,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"137","Alien8.bmp",281,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"138","Alien9.bmp",282,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"139","Alien4.bmp",283,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"140","Alien5.bmp",284,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"141","Alien6.bmp",285,"S",NA,"",0.358701022575,"3","H",4,"f008",6,"visual"
"142","Alien1.bmp",286,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"143","Alien2.bmp",287,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"144","Alien3.bmp",288,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"145","blank.png",0,"B",NA,"",NA,"None","H",4,"f008",6,"visual"
"146","blank.png",0,"B",NA,"",NA,"None","H",4,"f008",6,"visual"
"147","blank.png",0,"B",NA,"",NA,"None","H",4,"f008",6,"visual"
"148","blank.png",0,"B",NA,"",NA,"None","H",4,"f008",6,"visual"
"149","blank.png",0,"B",NA,"",NA,"None","H",4,"f008",6,"visual"
"150","blank.png",0,"B",NA,"",NA,"None","H",4,"f008",6,"visual"
"151","blank.png",0,"B",NA,"",NA,"None","H",4,"f008",6,"visual"
"152","blank.png",0,"B",NA,"",NA,"None","H",4,"f008",6,"visual"
"153","blank.png",0,"B",NA,"",NA,"None","H",4,"f008",6,"visual"
"154","blank.png",0,"B",NA,"",NA,"None","H",4,"f008",6,"visual"
"155","blank.png",0,"B",NA,"",NA,"None","H",4,"f008",6,"visual"
"156","blank.png",0,"B",NA,"",NA,"None","H",4,"f008",6,"visual"
"157","Alien4.bmp",145,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"158","Alien5.bmp",146,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"159","Alien6.bmp",147,"S",NA,"",0.391934923711,"3","H",4,"f008",6,"visual"
"160","Alien10.bmp",148,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"161","Alien11.bmp",149,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"162","Alien12.bmp",150,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"163","Alien4.bmp",151,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"164","Alien5.bmp",152,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"165","Alien6.bmp",153,"S",NA,"",0.441942788544,"3","H",4,"f008",6,"visual"
"166","Alien7.bmp",154,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"167","Alien8.bmp",155,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
"168","Alien9.bmp",156,"S",NA,"",NA,"None","H",4,"f008",6,"visual"
